"OID_","Station_ID","R","R2","NSE","BIAS","RMSE","MAE","SMAPE","UBA","Longitude","Latitude"
1,"s01104405",0.99861132,0.997224568,0.949815382,-0.590919873,1.541314431,1.335357907,42.32811168,2.16,-71.26875,42.42708333
2,"s02336313",0.99899962,0.99800024,0.961225378,-1.131979046,1.232767987,1.178593081,7.28418401,2.71,-84.43541667,33.81875
3,"s01115170",0.99861425,0.99723042,0.92770299,1.952965539,2.119051961,2.078013158,42.97089048,3.25,-71.58541667,41.84375
4,"s02458148",0.996538114,0.993088214,-0.547635353,-0.487592592,3.697213341,3.317648148,20.05025647,4.1,-86.71875,33.58125
5,"s01115297",0.996617643,0.993246726,0.976784959,0.904248295,1.242938071,1.02271258,19.31672907,4.32,-71.63125,41.74791667
6,"s01115114",0.997531653,0.995069399,0.984967118,-0.034339161,0.866353486,0.759725913,30.24754543,4.7,-71.61041667,41.83958333
7,"s01115190",0.995228763,0.990480291,0.977149516,0.779513344,1.167097172,0.940292212,38.32928763,4.9,-71.70208333,41.82291667
8,"s01115098",0.997334496,0.994676097,0.938789615,1.766722301,2.028194404,1.91240346,45.87769835,4.96,-71.60625,41.85208333
9,"s01575744",0.984104144,0.968460966,0.904782052,0.962083333,2.183636913,1.632666667,25.7154949,5,-76.38125,40.16458333
10,"s02204115",0.988706238,0.977540024,0.924348988,-1.335416667,1.679092513,1.537166667,10.11641935,5.2,-84.08541667,33.67291667
11,"s02204118",0.992151181,0.984363965,0.956059791,-1.006111111,1.312421443,1.200527778,8.603743515,6,-84.08541667,33.66041667
12,"s01115110",0.997147341,0.994302819,0.957098153,-0.497955306,1.37676902,1.242177528,38.53204941,6.23,-71.61041667,41.84375
13,"s07188007",0.990224225,0.980544016,0.71601183,-0.672444444,3.121492864,2.843944444,23.70405363,6.36,-94.74791667,36.93125
14,"s02334620",0.995592272,0.991203972,0.960651314,-0.930124999,1.20625111,1.017319444,6.257598722,6.4,-84.13541667,34.07291667
15,"s01548303",0.984199364,0.968648389,0.774394266,-0.677583333,2.500026181,2.147333333,67.27945235,6.48,-77.40208333,41.78541667
16,"s01104430",0.985196879,0.970612891,0.905754759,1.213335738,2.197856404,2.014835738,51.1271492,6.86,-71.26875,42.39791667
17,"s05406469",0.981544756,0.963430108,0.288154942,-1.521166667,4.313947271,3.885638889,90.61956958,7.3,-89.63125,43.12708333
18,"s05406470",0.988595259,0.977320586,0.8197622,-0.919480769,2.793421201,2.526294872,82.61393161,7.7,-89.63958333,43.12291667
19,"s01115265",0.99574729,0.991512665,0.984769467,0.561949995,0.963997669,0.726283328,35.97775172,8.72,-71.70208333,41.78958333
20,"s04144032",0.996153351,0.992321498,0.904587993,-0.304208333,2.039241827,1.853041667,66.23774896,8.74,-83.98541667,42.88125
21,"s14200400",0.99538495,0.990791198,0.719430447,-1.309078284,1.47652671,1.421494951,14.19195453,9.81,-122.6270833,44.95208333
22,"s02207185",0.99857389,0.997149813,0.917376845,-1.27288307,1.586662571,1.283890316,6.507190978,10.1,-84.03541667,33.77708333
23,"s01104370",0.996503001,0.993018231,0.961999699,-0.15273106,1.364381273,1.183824495,45.65918202,10.2,-71.28958333,42.38541667
24,"s02203700",0.999169278,0.998339246,0.962432093,-0.921372808,1.13917702,0.938289474,4.642349656,10.6,-84.33125,33.70208333
25,"s09046530",0.942952848,0.889160074,0.718801481,0.11125,1.459150295,1.232583333,112.3953503,10.9,-106.0395833,39.48958333
26,"s02335078",0.993980917,0.987998064,0.910552452,-1.182249999,1.678500879,1.491111111,8.827564329,12.3,-84.21458333,34.01458333
27,"s01571490",0.991270487,0.982617179,0.031181465,-0.622055555,4.293611999,4.03336111,43.89002816,12.6,-76.90625,40.22291667
28,"s01466800",0.992667752,0.985389265,0.93542135,1.255166667,1.819935782,1.517916667,18.23055819,13.7,-74.58958333,39.92708333
29,"s01037380",0.997700473,0.995406233,0.992891547,0.323083333,0.65298475,0.513416667,57.9073101,14.4,-69.06458333,44.33125
30,"s01115187",0.996347335,0.992708013,0.979687986,0.769753132,1.115200232,0.910932957,43.17291408,14.4,-71.70625,41.82291667
31,"s01559795",0.992743809,0.98554027,0.875462035,-0.568833333,2.007250122,1.860111111,55.37975268,16.6,-78.59791667,40.27291667
32,"s02338523",0.994466483,0.988963585,0.862167214,-1.334696759,1.825128559,1.459717592,7.681005283,16.8,-85.23125,33.34375
33,"s02423397",0.998990565,0.99798215,0.703574047,-0.189852802,2.259575657,2.053541785,13.09849488,17,-86.56458333,33.53541667
34,"s02207385",0.998717389,0.997436423,0.881103554,-1.261536891,1.795769267,1.413333993,7.003805042,17.3,-83.98958333,33.81458333
35,"s03293000",0.995700607,0.991419699,0.853399647,0.344640183,2.377043263,2.056832244,22.43646477,18.4,-85.66041667,38.23541667
36,"s02344673",0.99918073,0.998362132,0.886396842,2.047719908,2.449301966,2.195247685,10.8792968,18.4,-84.57291667,33.38541667
38,"s02423398",0.99836969,0.996742038,0.692927733,-0.453542887,2.297463397,2.043885964,12.68873896,19.4,-86.57708333,33.52708333
39,"s02423130",0.998038404,0.996080657,0.973768754,-0.171339996,0.9068538,0.831359588,5.527291383,19.7,-86.60208333,33.62708333
40,"s06893350",0.991167922,0.982413849,0.942252385,-0.175472222,2.006452491,1.801805555,29.60230127,20.5,-94.63958333,38.90625
41,"s01473169",0.991949148,0.983963112,0.458845503,-0.766652778,3.492999119,3.131208333,34.10962091,20.8,-75.46041667,40.08125
42,"s03289000",0.918973459,0.844512218,0.630226231,-0.837166667,3.575261016,2.513833333,21.58717942,21.2,-84.62708333,38.03958333
43,"s03092090",0.998534143,0.997070436,0.977165192,0.507143939,1.120815171,0.913171717,47.10468514,21.8,-81.19791667,41.16041667
44,"s01104460",0.997391099,0.994789004,0.979704469,0.553511984,1.082330267,0.954015795,42.55140479,22,-71.27291667,42.36875
45,"s05406476",0.992957398,0.985964394,-0.780647172,-0.819611112,5.216733067,4.881277778,91.5223922,22.7,-89.65208333,43.11458333
47,"s01464290",0.993371748,0.98678743,0.960718898,0.916263889,1.480648327,1.183472222,14.75758479,23.5,-74.53125,40.04791667
48,"s03294550",0.987390657,0.97494031,0.963135317,0.379041667,1.513657572,1.263430556,14.93120452,24.4,-85.86041667,38.17708333
